0,26.3,0
26.3,28,1
28,30,0
30,32.5,1
32.5,34.5,0
34.5,36.5,1
36.5,39,0
39,43.3,1
43.3,45.5,0
45.5,49,1
49,53.2,0
53.2,65,1
65,75,0
75,85,1
85,89,0
89,91,1
91,102,0
102,104,2
104,106.5,0
106.5,108.5,2
108.5,111,0
111,114.2,2
114.2,116.4,0
116.4,118.8,2
118.8,122.3,0
122.3,126.3,2
126.3,129.3,0
129.3,131,2
131,133.2,0
133,136,2
136,146,0
146,147,3
147,149.5,0
149.5,154,3
154,158,0
158,159.9,3
159.9,163.5,0
163.5,168.3,3
168.3,171,0
171,174,3
174,176.3,0
176.3,176.9,3
176.9,177.8,0
177.8,178.5,3
178.5,204,0
