0.0,29.7,0
29.7,31.7,1
31.700000000000003,32.1,0
32.1,33.5,1
33.5,35.5,0
35.5,40,1
40,43,0
43,52.5,1
52.5,59.5,0
59.5,65.8,1
65.8,69,0
69,71.5,1
71.5,75.5,0
75.5,80,1
80,84.5,0
84.5,86.5,1
86.5,92,0
92,105,1
105.10000000000001,108.30000000000001,0
108.3,113,1
113,118.7,0
118.7,121.10000000000001,1
121.10000000000001,130.50000000000002,0
130.50000000000002,134.5,1
134.5,135,0
135,140.5,1
140.5,142,0
142,148,1
146,154.5,0
154.5,156.20000000000002,1
156.2,160.5,0
160.5,168.10000000000002,1
168.10000000000002,174.5,0
174.5,181.20000000000002,1
181.20000000000002,199,0
